CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
Average,CloseToDryAd,SWQuad,Steep,CThruK,Wet,Dry,NegToPos,Weak,CDEJ,TotalInhibit,WeakUp,Neutral,Weak,Clear,Dry,Neutral,LessUnstable,Clear,Some,N5GtLIGt_8,C,Slight,WeakUp,None,C,MarkedUpper,LittleChange,Weak,Strong,WeakPos,WeakUp,DCVZFavor,None,SIG,Jul2_Jul15,DryMMoistL,Clear,ACEFK,SIG,LittleChange,Westerly,Strong,LessUnstable,LittleChange,Clear,Dry,Weak,SIG,LowNHighS,WeakUp,Stability,E_W_N,MoreThanAve,LV,XNIL
LessThanAve,CloseToDryAd,LV,Stable,CThruK,Wet,Average,LittleChange,Strong,CDEJ,Stifling,StronUp,Down,Weak,Clear,Wet,Dry,MoreUnstable,Clear,None,N1GtLIGt_4,J,Strong,Down,Other,J,NoMajor,LittleChange,Strong,Weak,Neutral,Down,Westerly,PartInhibit,SIG,Jul16_Aug10,DryMMoistL,PC,GJ,SVR,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,Clear,VeryWet,None,SVR,LowMtsHighPl,Down,Instability,DryLine,Average,LV,SVR
Average,CloseToDryAd,LV,Steep,CThruK,Wet,Average,LittleChange,Strong,CDEJ,TotalInhibit,Neutral,Neutral,Strong,PC,Neutral,Wet,LessUnstable,PC,Some,N1GtLIGt_4,J,Moderate,WeakUp,Other,J,NoMajor,LittleChange,Strong,Strong,Neutral,Neutral,StrongWest,None,SVR,Jul2_Jul15,DryMMoistL,PC,GJ,XNIL,Decreasing,LVorOther,Strong,LessUnstable,DecCapIncIns,PC,VeryWet,None,SVR,HighEvrywher,Neutral,Stability,Other,MoreThanAve,DenvCyclone,XNIL
Average,Steep,LV,Stable,AB,Neutral,Dry,LittleChange,Weak,ABI,PartInhibit,StronUp,Down,Strong,Cloudy,Neutral,Dry,LessUnstable,Clear,Some,N1GtLIGt_4,B,Moderate,Down,Other,B,NoMajor,Increasing,Moderate,Strong,WeakPos,Down,StrongWest,PartInhibit,SVR,Aug20_Sep15,DryMMoistL,Cloudy,B,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,PC,Neutral,None,SVR,LowSHighN,Down,Stability,MovingFtorOt,Average,DenvCyclone,XNIL
LessThanAve,ModerateOrLe,SWQuad,Stable,CThruK,VeryWet,Dry,PosToNeg,Weak,CDEJ,PartInhibit,Neutral,Neutral,Strong,PC,VeryWet,VeryWet,Average,PC,None,N5GtLIGt_8,D,None,StrongUp,None,D,OtherRapid,Increasing,Weak,Strong,StrongPos,WeakUp,StrongWest,PartInhibit,SIG,Aug20_Sep15,MoistMDryL,PC,D,XNIL,Decreasing,Westerly,Weak,MoreUnstable,DecCapIncIns,PC,VeryWet,Strong,SIG,LowMtsHighPl,WeakUp,Stability,None,LessThanAve,WidespdDnsl,XNIL
MoreThanAve,ModerateOrLe,LV,Steep,CThruK,Wet,Average,LittleChange,Strong,CDEJ,PartInhibit,Down,Neutral,Weak,Clear,Wet,Neutral,LessUnstable,PC,Some,LIGt0,J,Strong,WeakUp,None,J,NoMajor,Increasing,Strong,Weak,Neutral,Down,Other,Stifling,SVR,Aug11_Aug20,Other,Clear,GJ,SIG,Increasing,LVorOther,Strong,Average,IncCapDecIns,Clear,Dry,None,SVR,LowAtStation,Down,Stability,DryLine,MoreThanAve,LV,XNIL
MoreThanAve,CloseToDryAd,SWQuad,CloseToDryAd,CThruK,Neutral,Dry,PosToNeg,Strong,G,Stifling,Neutral,Neutral,Strong,Clear,Neutral,Neutral,Average,PC,Marked,N1GtLIGt_4,G,Slight,WeakUp,None,G,MarkedUpper,Increasing,Weak,Weak,Neutral,Neutral,Westerly,None,XNIL,Aug20_Sep15,Other,Clear,GJ,XNIL,Increasing,Westerly,Strong,Average,IncCapDecIns,Clear,Wet,Weak,XNIL,LowEvrywhere,Neutral,Instability,None,MoreThanAve,WidespdDnsl,XNIL
Average,CloseToDryAd,LV,Steep,CThruK,Wet,Dry,PosToNeg,None,G,PartInhibit,Down,Neutral,None,PC,Neutral,Wet,Average,Clear,Some,N1GtLIGt_4,G,Strong,WeakUp,None,G,NoMajor,LittleChange,Moderate,None,WeakPos,Neutral,Other,None,XNIL,Jun15_Jul1,Other,PC,GJ,SIG,LittleChange,Westerly,Weak,Average,LittleChange,PC,Dry,None,SIG,LowSHighN,Neutral,Stability,E_W_N,Average,WidespdDnsl,SIG
LessThanAve,ModerateOrLe,LV,Stable,AB,Neutral,Average,NegToPos,Weak,ABI,None,Neutral,Neutral,Weak,PC,Neutral,Neutral,LessUnstable,PC,Marked,N1GtLIGt_4,B,Slight,Neutral,Moving,B,NoMajor,LittleChange,Moderate,Strong,Negative,Neutral,Westerly,PartInhibit,SVR,Jun15_Jul1,Other,PC,B,SIG,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,Wet,None,SVR,LowMtsHighPl,Neutral,Stability,DenvCyclone,LessThanAve,E_NE,SIG
MoreThanAve,ModerateOrLe,SWQuad,Steep,CThruK,Dry,Average,SigPositive,Weak,CDEJ,PartInhibit,Down,Down,Weak,Cloudy,Neutral,Dry,LessUnstable,Clear,Some,N1GtLIGt_4,E,Moderate,WeakUp,None,E,NoMajor,LittleChange,Moderate,None,Neutral,Neutral,Other,PartInhibit,SVR,May15_Jun14,Other,PC,ACEFK,SIG,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,Cloudy,Dry,None,SVR,LowNHighS,Neutral,Instability,None,Average,WidespdDnsl,SIG
Average,ModerateOrLe,LV,Stable,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,None,Neutral,Neutral,Strong,Clear,Wet,Neutral,MoreUnstable,Clear,Marked,N1GtLIGt_4,J,Moderate,WeakUp,None,J,NoMajor,LittleChange,Strong,Weak,Neutral,Neutral,StrongWest,Stifling,SVR,Jul16_Aug10,Other,PC,GJ,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,Clear,Neutral,None,SVR,LowMtsHighPl,Neutral,Instability,DryLine,Average,LV,XNIL
LessThanAve,ModerateOrLe,SWQuad,Stable,AB,Dry,Average,LittleChange,None,ABI,PartInhibit,Down,Neutral,None,Cloudy,Neutral,Neutral,LessUnstable,Cloudy,None,N1GtLIGt_4,B,None,StrongUp,None,B,NoMajor,Decreasing,Weak,Weak,Negative,StrongUp,Westerly,Stifling,XNIL,Jul16_Aug10,DryMMoistL,Cloudy,B,XNIL,LittleChange,LVorOther,None,LessUnstable,LittleChange,Cloudy,Dry,None,XNIL,LowMtsHighPl,StrongUp,Stability,MovingFtorOt,LessThanAve,DenvCyclone,XNIL
LessThanAve,ModerateOrLe,AllElse,Steep,CThruK,Neutral,VeryMoist,PosToNeg,Strong,F,PartInhibit,Down,Neutral,Strong,Clear,Neutral,Neutral,MoreUnstable,Clear,Some,N5GtLIGt_8,F,Strong,StrongUp,Other,F,NoMajor,Decreasing,Moderate,Weak,Negative,Neutral,Westerly,None,SIG,May15_Jun14,Other,PC,ACEFK,XNIL,LittleChange,LVorOther,Strong,Average,LittleChange,Clear,Wet,Strong,SIG,HighEvrywher,Neutral,Stability,None,LessThanAve,E_NE,XNIL
Average,ModerateOrLe,SWQuad,Steep,AB,Wet,Dry,NegToPos,Strong,ABI,Stifling,Neutral,Neutral,Strong,PC,Neutral,Neutral,LessUnstable,Clear,Marked,N1GtLIGt_4,A,Slight,WeakUp,Other,A,MarkedUpper,Decreasing,Weak,Strong,Neutral,Neutral,DCVZFavor,None,XNIL,Aug20_Sep15,DryMMoistL,PC,ACEFK,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,None,XNIL,HighEvrywher,Neutral,Neutral,DenvCyclone,Average,DenvCyclone,XNIL
MoreThanAve,Steep,AllElse,CloseToDryAd,CThruK,Neutral,Dry,SigPositive,Strong,CDEJ,PartInhibit,Neutral,WeakUp,Strong,Clear,Neutral,Neutral,LessUnstable,PC,Marked,N1GtLIGt_4,C,Strong,StrongUp,QStationary,C,MarkedUpper,Increasing,Moderate,Weak,WeakPos,Neutral,DCVZFavor,None,SIG,May15_Jun14,Other,Clear,ACEFK,SIG,Increasing,Westerly,Strong,Average,IncCapDecIns,Clear,Neutral,None,SIG,LowEvrywhere,Neutral,Instability,MovingFtorOt,Average,WidespdDnsl,SIG
LessThanAve,Steep,NWQuad,CloseToDryAd,CThruK,Dry,Average,NegToPos,None,CDEJ,PartInhibit,Neutral,Neutral,None,Clear,Dry,Dry,Average,Clear,None,N1GtLIGt_4,D,Slight,Neutral,None,D,OtherRapid,LittleChange,Unfavorable,None,Neutral,Neutral,StrongWest,None,XNIL,Jul16_Aug10,MoistMDryL,PC,D,XNIL,LittleChange,Westerly,None,Average,LittleChange,PC,Neutral,None,XNIL,LowSHighN,Neutral,Neutral,DenvCyclone,Average,WidespdDnsl,XNIL
LessThanAve,Steep,LV,Steep,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Down,None,PC,Dry,Dry,Average,PC,None,N5GtLIGt_8,J,None,Down,QStationary,J,OtherRapid,Increasing,Unfavorable,Strong,WeakPos,Down,Other,PartInhibit,SIG,Jul16_Aug10,Other,Clear,GJ,SIG,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,PC,Dry,Strong,SIG,LowMtsHighPl,Down,Neutral,DryLine,LessThanAve,LongAnticyc,SIG
MoreThanAve,CloseToDryAd,LV,Steep,CThruK,Neutral,Average,LittleChange,Weak,CDEJ,Stifling,Down,Neutral,Strong,Clear,Neutral,Neutral,LessUnstable,Clear,Marked,N1GtLIGt_4,J,Strong,Neutral,None,J,NoMajor,LittleChange,Moderate,Weak,Neutral,Down,StrongWest,None,XNIL,Jul16_Aug10,DryMMoistL,Clear,GJ,SIG,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,Weak,SIG,Other,Down,Neutral,E_W_N,MoreThanAve,LV,SIG
MoreThanAve,CloseToDryAd,AllElse,Steep,CThruK,Wet,Average,PosToNeg,Weak,K,TotalInhibit,WeakUp,StrongUp,Weak,PC,Wet,Wet,MoreUnstable,Cloudy,Marked,N5GtLIGt_8,K,Slight,Down,Moving,K,MarkedUpper,Increasing,Strong,Weak,StrongPos,WeakUp,StrongWest,PartInhibit,SIG,Aug20_Sep15,Other,Clear,ACEFK,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,Cloudy,Wet,Weak,SIG,HighEvrywher,WeakUp,Neutral,DenvCyclone,MoreThanAve,WidespdDnsl,XNIL
LessThanAve,ModerateOrLe,NWQuad,ModerateOrLe,CThruK,VeryWet,Dry,SigPositive,Strong,H,None,StronUp,WeakUp,Strong,PC,VeryWet,VeryWet,LessUnstable,PC,Some,N1GtLIGt_4,H,None,Neutral,None,H,MarkedUpper,Decreasing,Unfavorable,Weak,Negative,WeakUp,Westerly,None,SIG,May15_Jun14,DryMMoistL,PC,HI,XNIL,Decreasing,LVorOther,Strong,LessUnstable,DecCapIncIns,PC,Neutral,None,SIG,LowMtsHighPl,WeakUp,Stability,None,LessThanAve,E_NE,XNIL
Average,Steep,NWQuad,CloseToDryAd,CThruK,Wet,Dry,PosToNeg,Weak,G,PartInhibit,StronUp,Neutral,None,Cloudy,Neutral,Neutral,MoreUnstable,PC,None,N1GtLIGt_4,G,Moderate,WeakUp,None,G,NoMajor,Decreasing,Moderate,Weak,Negative,WeakUp,Other,PartInhibit,XNIL,Jun15_Jul1,Other,PC,GJ,XNIL,Increasing,Westerly,Strong,Average,IncCapDecIns,Cloudy,Wet,Weak,XNIL,LowAtStation,WeakUp,Neutral,DenvCyclone,Average,LongAnticyc,XNIL
LessThanAve,ModerateOrLe,LV,Steep,AB,Neutral,Dry,LittleChange,Strong,ABI,Stifling,StronUp,Down,None,PC,Wet,Wet,LessUnstable,PC,Some,N1GtLIGt_4,B,Slight,Neutral,Other,B,NoMajor,LittleChange,Strong,Weak,WeakPos,Neutral,Other,Stifling,SVR,May15_Jun14,Other,PC,B,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,PC,Neutral,None,SVR,LowSHighN,Neutral,Stability,DenvCyclone,Average,DenvCyclone,XNIL
MoreThanAve,CloseToDryAd,AllElse,Steep,CThruK,Neutral,VeryMoist,LittleChange,None,ABI,TotalInhibit,Down,Neutral,Strong,Clear,Neutral,Wet,MoreUnstable,Clear,None,N5GtLIGt_8,I,None,StrongUp,QStationary,I,StrongFront,LittleChange,Unfavorable,Strong,WeakPos,Neutral,StrongWest,Stifling,XNIL,Aug20_Sep15,DryMMoistL,PC,HI,SIG,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,Clear,Neutral,Weak,SIG,LowSHighN,Neutral,Instability,MovingFtorOt,MoreThanAve,E_NE,SIG
LessThanAve,Steep,SWQuad,CloseToDryAd,CThruK,VeryWet,Average,LittleChange,Weak,CDEJ,None,WeakUp,StrongUp,None,PC,Wet,Wet,LessUnstable,PC,Some,N1GtLIGt_4,E,None,Neutral,None,E,NoMajor,Decreasing,Unfavorable,Strong,Neutral,Neutral,Other,PartInhibit,SIG,Jul2_Jul15,Other,PC,ACEFK,XNIL,LittleChange,Westerly,Weak,LessUnstable,LittleChange,PC,VeryWet,Strong,SIG,LowEvrywhere,Neutral,Stability,Other,LessThanAve,LongAnticyc,XNIL
Average,Steep,NWQuad,Steep,CThruK,VeryWet,Dry,NegToPos,Weak,CDEJ,PartInhibit,Neutral,StrongUp,None,PC,VeryWet,Wet,LessUnstable,Clear,None,LIGt0,C,Moderate,Down,None,C,MarkedUpper,Decreasing,Weak,Weak,Negative,Neutral,StrongWest,None,XNIL,Jun15_Jul1,Other,Cloudy,ACEFK,XNIL,LittleChange,Westerly,Weak,LessUnstable,LittleChange,PC,VeryWet,None,XNIL,LowEvrywhere,Neutral,Instability,E_W_N,Average,LongAnticyc,XNIL
Average,ModerateOrLe,SWQuad,ModerateOrLe,CThruK,Neutral,Dry,SigNegative,None,K,PartInhibit,StronUp,WeakUp,None,Cloudy,Neutral,Wet,MoreUnstable,Clear,None,N1GtLIGt_4,K,Moderate,StrongUp,Other,K,StrongFront,LittleChange,Strong,Strong,StrongPos,StrongUp,Other,Stifling,XNIL,Aug11_Aug20,MoistMDryL,Cloudy,ACEFK,XNIL,LittleChange,Westerly,None,MoreUnstable,LittleChange,Cloudy,Wet,Strong,XNIL,Other,StrongUp,Stability,DryLine,Average,SEQuad,XNIL
MoreThanAve,Steep,SWQuad,Steep,CThruK,Dry,Average,NegToPos,Strong,K,Stifling,Neutral,Neutral,None,Clear,Dry,Dry,MoreUnstable,Clear,None,N5GtLIGt_8,K,None,Neutral,Other,K,StrongFront,Decreasing,Weak,None,Negative,Neutral,Other,PartInhibit,XNIL,May15_Jun14,DryMMoistL,Clear,ACEFK,XNIL,LittleChange,LVorOther,Strong,Average,LittleChange,Clear,VeryWet,None,XNIL,Other,Neutral,Instability,MovingFtorOt,MoreThanAve,WidespdDnsl,XNIL
LessThanAve,CloseToDryAd,AllElse,Steep,CThruK,Wet,Dry,PosToNeg,Strong,K,PartInhibit,WeakUp,StrongUp,Strong,Cloudy,VeryWet,VeryWet,MoreUnstable,PC,Some,N1GtLIGt_4,K,None,WeakUp,Moving,K,MarkedUpper,Decreasing,Weak,Strong,Negative,StrongUp,StrongWest,PartInhibit,XNIL,Aug20_Sep15,DryMMoistL,Cloudy,ACEFK,XNIL,Decreasing,Westerly,Weak,Average,DecCapIncIns,Cloudy,Neutral,Weak,XNIL,Other,StrongUp,Instability,DenvCyclone,Average,LV,XNIL
LessThanAve,CloseToDryAd,NWQuad,Stable,CThruK,VeryWet,Dry,SigNegative,Weak,H,PartInhibit,WeakUp,Down,Strong,PC,VeryWet,VeryWet,LessUnstable,PC,Marked,N5GtLIGt_8,H,None,Down,Moving,H,MarkedUpper,Decreasing,Weak,Strong,Neutral,Down,DCVZFavor,Stifling,SVR,May15_Jun14,DryMMoistL,PC,HI,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Clear,Dry,None,SVR,LowMtsHighPl,Down,Instability,None,LessThanAve,E_NE,XNIL
LessThanAve,CloseToDryAd,SWQuad,Steep,CThruK,VeryWet,VeryMoist,SigNegative,Weak,CDEJ,PartInhibit,WeakUp,Neutral,None,Clear,VeryWet,VeryWet,LessUnstable,PC,None,N1GtLIGt_4,C,Moderate,Neutral,QStationary,C,OtherRapid,Decreasing,Strong,None,WeakPos,WeakUp,Other,PartInhibit,SIG,May15_Jun14,MoistMDryL,Clear,ACEFK,SIG,Decreasing,Westerly,Weak,LessUnstable,DecCapIncIns,PC,VeryWet,None,SIG,LowMtsHighPl,WeakUp,Stability,DryLine,Average,LongAnticyc,SIG
LessThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Wet,Average,LittleChange,Strong,CDEJ,Stifling,WeakUp,Neutral,Weak,Clear,VeryWet,Wet,LessUnstable,Clear,Marked,N1GtLIGt_4,E,None,StrongUp,None,E,NoMajor,LittleChange,Unfavorable,Weak,Neutral,WeakUp,DCVZFavor,PartInhibit,SIG,Aug11_Aug20,MoistMDryL,PC,ACEFK,XNIL,Decreasing,LVorOther,Strong,LessUnstable,DecCapIncIns,Clear,Neutral,Weak,SIG,Other,WeakUp,Stability,DenvCyclone,MoreThanAve,LV,XNIL
MoreThanAve,Steep,NWQuad,CloseToDryAd,CThruK,Neutral,Dry,SigNegative,Strong,G,Stifling,Neutral,Neutral,Strong,Cloudy,Neutral,Neutral,Average,PC,Some,N1GtLIGt_4,G,Strong,Down,None,G,NoMajor,LittleChange,Strong,Weak,Neutral,Neutral,DCVZFavor,None,XNIL,Jun15_Jul1,MoistMDryL,Cloudy,GJ,SIG,LittleChange,Westerly,Strong,Average,LittleChange,PC,Dry,None,SIG,LowAtStation,Neutral,Stability,None,MoreThanAve,SEQuad,SVR
LessThanAve,CloseToDryAd,AllElse,CloseToDryAd,CThruK,Neutral,Average,SigPositive,Weak,ABI,None,StronUp,Neutral,Strong,Clear,Wet,Wet,Average,Clear,Some,N5GtLIGt_8,I,Moderate,WeakUp,QStationary,I,StrongFront,Increasing,Moderate,Strong,StrongPos,WeakUp,DCVZFavor,None,SIG,Aug20_Sep15,DryMMoistL,Clear,HI,SVR,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,Clear,Neutral,Strong,SVR,LowSHighN,WeakUp,Stability,E_W_S,LessThanAve,LV,SVR
Average,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,Neutral,Average,LittleChange,Weak,CDEJ,PartInhibit,WeakUp,Neutral,Strong,PC,Wet,Wet,Average,PC,Marked,N1GtLIGt_4,D,Strong,WeakUp,QStationary,D,OtherRapid,Increasing,Moderate,Strong,WeakPos,WeakUp,DCVZFavor,None,XNIL,Aug20_Sep15,Other,PC,D,XNIL,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Wet,Weak,XNIL,LowAtStation,WeakUp,Stability,Other,Average,SEQuad,XNIL
MoreThanAve,Steep,SWQuad,CloseToDryAd,CThruK,Neutral,Average,SigPositive,Weak,CDEJ,PartInhibit,WeakUp,WeakUp,Strong,PC,Wet,Wet,LessUnstable,Cloudy,Some,N1GtLIGt_4,E,Slight,WeakUp,None,E,NoMajor,Increasing,Moderate,Weak,StrongPos,WeakUp,Other,PartInhibit,SIG,Jul16_Aug10,Other,PC,ACEFK,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Cloudy,Neutral,None,SIG,LowNHighS,WeakUp,Stability,None,Average,WidespdDnsl,XNIL
LessThanAve,Steep,SWQuad,Steep,AB,Wet,VeryMoist,NegToPos,Weak,ABI,PartInhibit,Neutral,Neutral,None,Clear,Wet,Wet,LessUnstable,Clear,None,N1GtLIGt_4,A,Strong,StrongUp,Other,A,MarkedUpper,LittleChange,Moderate,Weak,WeakPos,Neutral,Other,None,SVR,May15_Jun14,Other,Clear,ACEFK,SVR,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Clear,Dry,None,SVR,Other,Neutral,Stability,DenvCyclone,LessThanAve,DenvCyclone,SVR
LessThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Neutral,Average,LittleChange,Weak,CDEJ,None,Neutral,Neutral,Weak,PC,VeryWet,Wet,MoreUnstable,PC,None,N5GtLIGt_8,E,Slight,StrongUp,None,E,NoMajor,LittleChange,Strong,Weak,Neutral,WeakUp,Other,TotalInhibit,SIG,Aug20_Sep15,MoistMDryL,PC,ACEFK,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,PC,Dry,None,SIG,LowSHighN,WeakUp,Neutral,E_W_S,LessThanAve,LV,XNIL
MoreThanAve,CloseToDryAd,AllElse,CloseToDryAd,CThruK,Neutral,Average,SigNegative,Strong,CDEJ,Stifling,Neutral,WeakUp,None,PC,Neutral,Wet,LessUnstable,Cloudy,None,LIGt0,D,Strong,WeakUp,Other,D,MarkedUpper,LittleChange,Strong,Weak,WeakPos,WeakUp,Other,PartInhibit,SIG,Jul16_Aug10,Other,Clear,D,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,Dry,Weak,SIG,LowSHighN,WeakUp,Neutral,DryLine,Average,DenvCyclone,XNIL
Average,ModerateOrLe,SWQuad,Steep,CThruK,Wet,Average,SigNegative,Weak,ABI,PartInhibit,StronUp,StrongUp,None,Clear,Wet,VeryWet,Average,Clear,None,N1GtLIGt_4,I,None,Neutral,QStationary,I,OtherRapid,Decreasing,Weak,None,Negative,StrongUp,Other,Stifling,SVR,Jul2_Jul15,DryMMoistL,Clear,HI,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Clear,Wet,None,SVR,LowMtsHighPl,StrongUp,Stability,MovingFtorOt,Average,DenvCyclone,XNIL
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Wet,Average,PosToNeg,Strong,ABI,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Wet,Average,Cloudy,Marked,N5GtLIGt_8,I,Slight,WeakUp,Moving,I,StrongFront,Decreasing,Moderate,Weak,Negative,WeakUp,DCVZFavor,PartInhibit,SIG,Aug11_Aug20,Other,PC,HI,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Wet,None,SIG,LowSHighN,WeakUp,Stability,E_W_S,LessThanAve,DenvCyclone,XNIL
MoreThanAve,CloseToDryAd,LV,Steep,AB,Neutral,Dry,NegToPos,None,ABI,TotalInhibit,Neutral,Neutral,None,PC,Neutral,Wet,MoreUnstable,PC,None,N1GtLIGt_4,B,Moderate,Neutral,None,B,NoMajor,Decreasing,Moderate,None,Negative,Neutral,StrongWest,PartInhibit,XNIL,May15_Jun14,DryMMoistL,PC,B,SVR,LittleChange,LVorOther,None,Average,LittleChange,PC,VeryWet,None,SVR,LowEvrywhere,Neutral,Stability,DenvCyclone,MoreThanAve,SEQuad,SVR
Average,ModerateOrLe,LV,Steep,CThruK,VeryWet,VeryMoist,LittleChange,None,F,Stifling,StronUp,StrongUp,Strong,Clear,VeryWet,VeryWet,LessUnstable,Cloudy,Some,N1GtLIGt_4,F,None,Down,None,F,NoMajor,LittleChange,Weak,Weak,Neutral,WeakUp,Westerly,Stifling,SIG,Jul16_Aug10,Other,Clear,ACEFK,XNIL,Decreasing,LVorOther,Strong,LessUnstable,DecCapIncIns,Clear,Neutral,None,SIG,HighEvrywher,WeakUp,Stability,E_W_S,MoreThanAve,LV,XNIL
MoreThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Dry,Average,SigPositive,Weak,CDEJ,PartInhibit,Down,StrongUp,None,PC,Dry,Dry,MoreUnstable,PC,Marked,N1GtLIGt_4,E,Slight,WeakUp,None,E,NoMajor,Decreasing,Moderate,Strong,WeakPos,Down,Westerly,Stifling,SIG,Jul16_Aug10,MoistMDryL,PC,ACEFK,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,Clear,Dry,Weak,SIG,LowMtsHighPl,Down,Neutral,None,Average,WidespdDnsl,XNIL
Average,ModerateOrLe,AllElse,Steep,CThruK,Wet,Average,SigNegative,Strong,CDEJ,PartInhibit,Neutral,StrongUp,Weak,Clear,Wet,VeryWet,MoreUnstable,Clear,Some,N5GtLIGt_8,D,Slight,StrongUp,None,D,StrongFront,LittleChange,Moderate,Strong,WeakPos,StrongUp,DCVZFavor,None,SVR,Jul16_Aug10,DryMMoistL,Clear,D,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Cloudy,Wet,Strong,SVR,LowMtsHighPl,StrongUp,Instability,DryLine,Average,WidespdDnsl,XNIL
MoreThanAve,Steep,AllElse,ModerateOrLe,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,TotalInhibit,WeakUp,Neutral,Strong,PC,Dry,Dry,MoreUnstable,PC,Some,N1GtLIGt_4,E,None,Neutral,None,E,OtherRapid,Increasing,Weak,Strong,WeakPos,Neutral,Westerly,Stifling,SVR,Aug11_Aug20,MoistMDryL,PC,ACEFK,SIG,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Clear,Wet,Weak,SVR,LowNHighS,Neutral,Instability,DryLine,MoreThanAve,LongAnticyc,SIG
Average,Steep,AllElse,Steep,CThruK,Dry,Dry,NegToPos,Weak,ABI,PartInhibit,Neutral,StrongUp,Strong,Clear,Dry,Dry,MoreUnstable,Clear,Marked,N5GtLIGt_8,I,Moderate,WeakUp,Moving,I,OtherRapid,Increasing,Moderate,Weak,Neutral,WeakUp,Westerly,PartInhibit,SVR,May15_Jun14,DryMMoistL,Clear,HI,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,Clear,Dry,None,SVR,LowSHighN,WeakUp,Instability,E_W_S,Average,LV,XNIL
MoreThanAve,ModerateOrLe,NWQuad,Stable,CThruK,Wet,Average,SigPositive,None,H,Stifling,Neutral,StrongUp,None,Cloudy,Wet,VeryWet,Average,Clear,None,LIGt0,H,None,Neutral,None,H,NoMajor,LittleChange,Moderate,None,Negative,WeakUp,StrongWest,Stifling,XNIL,May15_Jun14,DryMMoistL,Cloudy,HI,XNIL,Increasing,Westerly,None,Average,IncCapDecIns,Cloudy,Dry,Weak,XNIL,LowMtsHighPl,WeakUp,Stability,None,Average,SEQuad,XNIL
LessThanAve,Steep,SWQuad,CloseToDryAd,CThruK,Neutral,Average,LittleChange,Weak,CDEJ,PartInhibit,Neutral,Down,Weak,PC,Wet,Neutral,MoreUnstable,PC,Some,N5GtLIGt_8,E,Strong,Down,None,E,NoMajor,Decreasing,Strong,Weak,Negative,Neutral,Westerly,PartInhibit,SIG,Jul16_Aug10,MoistMDryL,PC,ACEFK,SIG,Decreasing,LVorOther,Weak,Average,DecCapIncIns,PC,Dry,Weak,SIG,LowAtStation,Neutral,Neutral,DryLine,LessThanAve,LongAnticyc,SIG
